id;descricao_lancamento;data_hora;valor_credito;valor_debito;observacoes;indicador_bloqueio;data_hora_cadastro;colaborador_cadastro;data_hora_atualizacao;colaborador_atualizacao
1;azul Berkshire;2022-05-04T21:50:07;80169;14947;Gourde;false;2022-05-05T17:35:49;synthesize;2022-05-05T20:00:44;Assistant
2;Architect Streamlined Rodovia;2022-05-05T18:23:57;32724;99432;array Concreto e-services;true;2022-05-04T22:20:01;Pernambuco;2022-05-05T00:30:20;compress vertical SQL
3;Bedfordshire Product;2022-05-05T01:58:07;1484;8700;Lustroso Ilha Pará;false;2022-05-04T22:37:17;RAM Phased harness;2022-05-04T23:51:21;Zimbábue auxiliary paradigms
4;haptic Malásia;2022-05-05T04:10:30;12460;19727;THX Loan overriding;false;2022-05-05T10:16:45;Planner functionalities;2022-05-04T22:18:41;Travessa
5;bottom-line benchmark Corporate;2022-05-04T20:56:09;46038;44319;interactive back;true;2022-05-05T04:49:16;Congelado;2022-05-05T06:20:34;Tobago Checking best-of-breed
6;Madeira;2022-05-05T19:25:38;22948;30163;web-enabled models;false;2022-05-05T15:50:27;Bahia IB;2022-05-05T08:47:24;override calculate
7;Solutions Granito;2022-05-05T01:51:39;15847;10573;Technician bandwidth fúchsia;false;2022-05-05T19:21:20;programming Montenegro Sharable;2022-05-04T21:39:03;systems leading-edge
8;Micronésia AGP;2022-05-05T00:55:18;7285;18912;payment Sem primary;true;2022-05-05T08:45:23;payment Tala;2022-05-05T13:26:24;deposit
9;communities leverage;2022-05-04T20:30:51;19461;12067;Supervisor brand Intuitive;false;2022-05-05T18:32:57;contextually-based;2022-05-04T20:43:23;groupware
10;Computador;2022-05-05T18:30:36;4164;43382;e-tailers Quality Mesa;true;2022-05-05T09:43:41;applications;2022-05-05T14:47:39;cutting-edge
